note,start,dur
146.521,15587,10
146.158,15603,11
146.726,15621,18
146.603,15670,14
97.862,15687,10
98.101,15703,14
98.857,15721,10
98.679,15737,12
97.478,15755,18
81.338,15779,8
146.065,15807,10
98.838,15824,12
98.319,15841,11
98.082,15857,9
98.378,15875,12
97.738,15891,15
144.951,15944,6
130.828,15957,15
130.353,15979,9
130.728,15995,10
129.984,16011,9
130.571,16027,17
109.779,16077,18
147.238,16097,8
146.651,16111,11
146.75,16127,13
146.753,16145,11
146.528,16159,17
170.165,16199,6
146.027,16208,12
98.072,16226,15
98.332,16246,12
98.863,16261,11
98.278,16278,13
97.837,16299,15
82.798,16319,7
84.863,16336,6
146.295,16349,14
102.74,16370,4
98.392,16377,18
97.903,16398,10
98.544,16414,12
97.678,16434,12
123.203,16485,16
163.496,16503,12
163.829,16521,11
164.491,16538,12
164.381,16554,12
164.542,16573,27
163.267,16606,13
246.633,16622,12
163.429,16637,11
163.371,16654,15
163.644,16671,14
163.849,16692,8
162.924,16705,14
164.923,16720,15
146.939,16758,7
98.258,16769,12
98.235,16789,14
98.791,16808,11
98.345,16825,11
98.104,16839,23
145.569,16894,12
98.672,16912,8
98.081,16927,14
99.473,16946,8
98.206,16958,9
98.141,16974,19
130.591,17049,10
130.615,17083,12
130.332,17098,8
135.898,17107,4
130.454,17118,16
98.251,17168,5
99.275,17174,9
130.199,17186,7
131.667,17202,8
130.742,17217,10
130.393,17235,6
130.198,17252,17
120.458,17277,7
82.545,17286,5
146.454,17298,14
98.197,17318,6
98.34,17333,9
98.577,17349,12
99.08,17364,13
97.655,17383,16
82.029,17404,12
146.668,17436,9
98.17,17452,11
98.961,17467,13
98.83,17486,12
99.104,17504,12
97.916,17522,19
109.017,17570,16
147.603,17592,7
147.367,17606,11
147.915,17623,14
147.572,17644,38
109.744,17707,17
147.767,17725,11
147.095,17742,8
147.646,17760,11
149.108,17775,10
146.814,17790,22
146.148,17840,11
98.019,17858,9
98.206,17875,11
100.137,17891,7
101.373,17910,11
98.115,17925,27
88.001,17994,12
86.6,18011,11
87.582,18029,8
90.759,18041,4
85.564,18046,4
87.655,18051,4
87.242,18068,22
82.845,18093,15
98.375,18130,9
99.175,18145,14
99.268,18166,8
98.225,18181,11
97.919,18197,28
87.558,18271,7
87.188,18300,14
87.341,18318,13
86.486,18338,23
83.287,18362,11
145.979,18384,10
98.113,18402,9
99.945,18425,6
98.453,18435,12
98.789,18457,7
98.299,18471,27
82.727,18511,6
87.698,18540,10
87.591,18558,8
87.544,18573,10
87.232,18591,11
84.431,18617,30
145.782,18660,8
98.285,18677,9
97.979,18696,10
98.811,18713,10
98.059,18730,10
98.544,18747,11
98.465,18759,8
97.077,18768,5
89.382,18816,8
87.314,18832,11
90.362,18854,6
83.861,18891,33
98.586,18945,15
98.346,18964,15
98.331,18982,14
98.243,19003,10
98.073,19014,30
87.709,19084,10
87.814,19103,9
86.965,19119,9
88.888,19138,9
85.3,19152,33
82.922,19193,6
145.665,19203,8
97.98,19220,10
98.069,19237,11
97.601,19252,13
99.808,19271,16
98.15,19289,16
98.543,19307,8
87.732,19369,12
87.521,19386,11
86.922,19403,10
84.542,19423,40
98.068,19486,11
98.117,19502,16
97.33,19520,5
100.741,19526,9
97.91,19540,9
98.094,19552,19
98.448,19573,7
82.917,19592,8
87.803,19623,9
87.663,19640,8
87.27,19655,10
88.785,19674,12
87.094,19689,8
85.158,19698,20
98.889,19755,11
98.333,19771,13
98.534,19787,14
102.455,19806,4
99.111,19811,8
97.911,19823,25
83.244,19859,11
87.047,19889,10
87.547,19907,11
87.258,19924,8
87.399,19941,10
84.205,19960,30
82.666,19994,7
147.228,20008,14
197.053,20023,22
145.592,20051,6
194.693,20058,15
145.154,20076,12
197.698,20091,29
130.456,20141,18
173.338,20161,12
129.739,20175,15
175.164,20194,14
130.451,20212,14
175.779,20228,26
398.426,20267,5
145.72,20276,12
197.725,20291,11
197.428,20307,12
220.679,20337,7
165.121,20348,11
146.12,20362,8
146.93,20379,11
122.984,20397,18
116.112,20423,4
86.249,20435,10
109.59,20449,11
130.314,20467,6
83.241,20486,5
94.737,20499,4
92.283,20504,5
108.771,20513,10
146.146,20529,17
292.849,20552,6
194.967,20560,16
145.555,20580,7
145.954,20588,5
196.028,20596,13
145.509,20614,12
197.143,20628,27
130.141,20681,13
171.853,20699,12
129.635,20717,8
173.549,20730,17
129.546,20751,13
174.854,20767,29
283.123,20803,24
197.889,20833,18
207.275,20852,12
241.182,20866,5
164.703,20883,12
146.499,20896,12
146.41,20918,8
121.252,20931,9
87.34,20966,15
210.542,20985,7
130.319,21001,11
92.662,21029,13
109.758,21051,11
146.086,21065,15
197.101,21094,16
146.138,21114,15
195.037,21131,13
197.811,21158,32
129.527,21216,13
173.344,21233,15
257.523,21249,12
174.159,21264,16
174.171,21296,26
146.654,21344,14
197.978,21366,13
198.386,21383,5
164.517,21412,17
151.389,21430,10
147.003,21446,11
117.441,21464,6
130.417,21471,5
87.62,21502,13
108.774,21517,10
129.614,21534,10
83.878,21549,10
93.093,21572,10
109.126,21587,10
145.129,21600,15
116,21622,8
194.021,21633,13
147.479,21654,6
196.488,21670,10
207.211,21688,4
197.237,21693,29
290.34,21729,8
290.742,21738,11
129.932,21750,12
172.577,21766,17
129.257,21790,7
174.089,21804,13
128.149,21819,13
174.583,21836,20
149.463,21858,5
344.919,21869,6
175.495,21876,4
145.175,21884,8
196.953,21901,12
196.483,21919,13
164.182,21937,7
110.247,21948,5
162.597,21954,26
146.431,21985,12
123.275,22004,13
86.821,22032,67
86.574,22106,24
82.762,22144,21
195.235,22169,11
144.8,22185,12
195.817,22200,15
197.253,22239,22
